"","id","mintars"
"1110",1221,20
"1111",1222,19.5
"1112",1222,18.1
"1113",1223,19.3
"1114",1227,19.2
"1115",1227,19
"1116",1227,19
"1117",1227,19
"1118",1227,NA
"1119",1228,18.5
"1120",1230,NA
"1121",1232,18.8
"1122",1233,18.8
"1123",1233,19
"1124",1233,19.5
"1125",1237,19.6
"1126",1238,19.7
"1127",1238,19.65
"1128",1239,20.1
"1129",1239,19.8
"1130",1239,NA
"1131",1239,20
"1132",1240,20.4
"1133",1240,20.4
"1134",1240,20
"1135",1240,20.7
"1136",1240,20.6
"1137",1242,20.8
"1138",1242,19.8
"1139",1242,20.65
"1140",1242,20.85
"1141",1242,20.8
"1142",1242,NA
"1143",1242,NA
"1144",1243,20
"1145",1243,20
"1146",1244,19.5
"1147",1245,19.45
"1148",1245,19.6
"1149",1246,19
"1150",1246,18.8
"1151",1246,18.4
"1152",1247,19.6
"1153",1247,19.6
"1154",1247,NA
"1155",1251,19
"1156",1252,19.5
"1157",1253,19.2
"1158",1253,19.25
"1159",1253,NA
"1160",1254,19.2
"1161",1254,19.25
"1162",1255,19.8
"1163",1255,19.7
"1164",1255,19.65
"1165",1255,NA
"1166",1255,NA
"1167",1255,19.75
"1168",1255,19.75
"1169",1255,19.9
"1170",1255,19.85
"1171",1255,NA
"1172",1255,19.6
"1173",1255,19.7
"1174",1256,20.3
"1175",1256,20.85
"1176",1256,20.65
"1177",1256,NA
"1178",1257,19.7
"1179",1257,20
"1180",1257,19.5
"1181",1258,19.9
"1182",1258,19.8
"1183",1258,19.7
"1184",1258,19.6
"1185",1259,19.8
"1186",1260,20.7
"1187",1260,20.6
"1188",1260,20.5
"1189",1260,20.6
"1190",1260,20.55
"1191",1261,18.8
"1192",1262,19.9
"1193",1262,20
"1194",1262,19.7
"1195",1263,18.8
"1196",1263,18.5
"1197",1264,18.9
"1198",1266,19.4
"1199",1266,19.3
"1200",1266,19.4
"1201",1266,19.3
"1202",1267,20.1
"1203",1268,19.7
"1204",1269,19.3
"1205",1273,20
"1206",1274,19.7
"1207",1274,NA
"1208",1274,19.75
"1209",1274,NA
"1210",1275,20
"1211",1275,20
"1212",1275,20
"1213",1275,20.6
"1214",1275,NA
"1215",1275,NA
"1216",1277,19.7
"1217",1278,18.6
"1218",1282,19.2
"1219",1282,18.1
"1220",1282,18.8
"1221",1282,19.3
"1222",1283,18.3
"1223",1283,19.2
"1224",1283,18.4
"1225",1283,18.7
"1226",1283,18.6
"1227",1283,20.35
"1228",1285,19.8
"1229",1287,20.6
"1230",1287,NA
"1231",1289,19.4
"1232",1289,19.65
"1233",1290,19.5
"1234",1290,19.5
"1235",1290,19.45
"1236",1290,18.9
"1237",1290,19.7
"1238",1290,NA
"1239",1291,18.5
"1240",1292,19.4
